Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Location,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Coordinates,Latitude,Longitude,Insert Date
Starbucks,11854,Epping Main St,Company Owned,18228,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-679-8789,"96 Calef Highway
Epping, NH 03042-2224
(43.031873, -71.073203)",96 Calef Highway,96 Calef Highway,,Epping,NH,03042-2224,US,"(43.031873, -71.073203)",43.031873,-71.073203,06/22/2012 06:17:10 PM
Starbucks,79420,Stop & Shop-Exeter #204,Licensed,9956,,Wireless Hotspot,,9999,Unknown,603-772-1783,"139 Portsmouth Ave
Exeter, NH 03833-2105
(42.989763, -70.932044)",139 Portsmouth Ave,139 Portsmouth Ave,,Exeter,NH,03833-2105,US,"(42.989763, -70.932044)",42.989763,-70.932044,06/22/2012 06:17:10 PM
Starbucks,3872,Target Greenland T-2530,Licensed,10933,,Starbucks Card Mobile,,9999,Unknown,603-501-1470,"1450 Greenland Rd
Greenland, NH 03840-2438
(43.04871, -70.816345)",1450 Greenland Rd,1450 Greenland Rd,,Greenland,NH,03840-2438,US,"(43.04871, -70.816345)",43.04871,-70.816345,06/22/2012 06:17:10 PM
Starbucks,13448,"Seabrook, Lafayette Rd",Company Owned,16980,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-474-3674,"271 Lafayette Rd
Seabrook, NH 03874-4512
(42.882128, -70.86808)",271 Lafayette Rd,271 Lafayette Rd,,Seabrook,NH,03874-4512,US,"(42.882128, -70.86808)",42.882128,-70.86808,06/22/2012 06:17:10 PM
Starbucks,10325,"Portsmouth, Woodbury Avenue",Company Owned,17269,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-436-1547,"1855 Woodbury Avenue
Portsmouth, NH 03801-3228
(43.092318, -70.792327)",1855 Woodbury Avenue,1855 Woodbury Avenue,,Portsmouth,NH,03801-3228,US,"(43.092318, -70.792327)",43.092318,-70.792327,06/22/2012 06:17:10 PM
Starbucks,7459,Portsmouth/Market Square/Cigar Stor,Company Owned,18462,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,603-433-4471,"1 Market Square, Suite 17D
Portsmouth, NH 03801-4011
(43.077086, -70.758064)","1 Market Square, Suite 17D",1 Market Square,Suite 17D,Portsmouth,NH,03801-4011,US,"(43.077086, -70.758064)",43.077086,-70.758064,06/22/2012 06:17:10 PM
Starbucks,11182,"Haverhill, 1116 Main St",Company Owned,18106,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,978-372-3485,"1116 Main Street
Haverhill, MA 01830-1413
(42.807206, -71.102071)",1116 Main Street,1116 Main Street,,Haverhill,MA,01830-1413,US,"(42.807206, -71.102071)",42.807206,-71.102071,06/22/2012 06:17:10 PM
Starbucks,7329,Newburyport,Company Owned,16075,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-462-4475,"23 Market Square
Newburyport, MA 01950-2571
(42.811138, -70.869501)",23 Market Square,23 Market Square,,Newburyport,MA,01950-2571,US,"(42.811138, -70.869501)",42.811138,-70.869501,06/22/2012 06:17:10 PM
Starbucks,7907,Kittery,Company Owned,12947,"Lunch, Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,207-451-9701,"306 Highway 1, M150
Kittery, ME 03904
(43.111116, -70.734091)","306 Highway 1, M150",306 Highway 1,M150,Kittery,ME,03904,US,"(43.111116, -70.734091)",43.111116,-70.734091,06/22/2012 06:17:10 PM
Starbucks,76864,Target Haverhill T-2325,Licensed,6510,,Starbucks Card Mobile,,9999,Unknown,978-377-9003,"35 Computer Dr
Haverhill, MA 01832-1236
(42.786955, -71.115836)",35 Computer Dr,35 Computer Dr,,Haverhill,MA,01832-1236,US,"(42.786955, -71.115836)",42.786955,-71.115836,06/22/2012 06:17:10 PM
Starbucks,9991,"Dover, NH",Company Owned,7942,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-742-1867,"11 Webb Place
Dover, NH 03820-2403
(43.221256, -70.888115)",11 Webb Place,11 Webb Place,,Dover,NH,03820-2403,US,"(43.221256, -70.888115)",43.221256,-70.888115,06/22/2012 06:17:10 PM
Starbucks,76677,Target - Somersworth T-2182,Licensed,10152,,Starbucks Card Mobile,,9999,Unknown,603-692-6750,"11 Andrews Rd
Somersworth, NH 03878-1042
(43.232909, -70.8818)",11 Andrews Rd,11 Andrews Rd,,Somersworth,NH,03878-1042,US,"(43.232909, -70.8818)",43.232909,-70.8818,06/22/2012 06:17:10 PM
Starbucks,7570,Methuen/The Loop,Company Owned,11932,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-681-5284,"90 Pleasant Valley St, Unit 170
Methuen, MA 01844-7289
(42.744153230002, -71.157345224281)","90 Pleasant Valley St, Unit 170",90 Pleasant Valley St,Unit 170,Methuen,MA,01844-7289,US,"(42.744153230002, -71.157345224281)",42.744153230002,-71.157345224281,06/22/2012 06:17:10 PM
Starbucks,16926,Target Salem T-1186,Licensed,87044,,,,0,Unknown,603-870-0071,"203 S Broadway
Salem, NH 03079-3377
(42.764387, -71.216689)",203 S Broadway,203 S Broadway,,Salem,NH,03079-3377,US,"(42.764387, -71.216689)",42.764387,-71.216689,06/22/2012 06:17:10 PM
Starbucks,76855,Target Methuen T-2287,Licensed,6511,,Starbucks Card Mobile,,9999,Unknown,978-983-0013,"67 Pleasant Valley St
Methuen, MA 01844-7202
(42.741881, -71.160069)",67 Pleasant Valley St,67 Pleasant Valley St,,Methuen,MA,01844-7202,US,"(42.741881, -71.160069)",42.741881,-71.160069,06/22/2012 06:17:10 PM
Starbucks,13411,"Manchester, S. Willow St.",Company Owned,6835,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-641-4839,"1111 South Willow St
Manchester, NH 03103-4035
(42.960288, -71.438445)",1111 South Willow St,1111 South Willow St,,Manchester,NH,03103-4035,US,"(42.960288, -71.438445)",42.960288,-71.438445,06/22/2012 06:17:10 PM
Starbucks,75663,MHT - Manchester Post Sec New Wng,Licensed,14413,,Wireless Hotspot,,9999,Airport,,"1 Airport Rd
Manchester, NH 03103-7450
(42.92709763021, -71.446556926821)",1 Airport Rd,1 Airport Rd,,Manchester,NH,03103-7450,US,"(42.92709763021, -71.446556926821)",42.92709763021,-71.446556926821,06/22/2012 06:17:10 PM
Starbucks,76481,Target Bedford T-2009,Licensed,8490,,Starbucks Card Mobile,,9999,Unknown,603-263-0061,"220 S River Rd
Bedford, NH 03110-6819
(42.94327, -71.4741)",220 S River Rd,220 S River Rd,,Bedford,NH,03110-6819,US,"(42.94327, -71.4741)",42.94327,-71.4741,06/22/2012 06:17:10 PM
Starbucks,7773,N Andover/Rte 114,Company Owned,8898,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-975-7229,"562 Turnpike Street
North Andover, MA 01845-5812
(42.665865, -71.115143)",562 Turnpike Street,562 Turnpike Street,,North Andover,MA,01845-5812,US,"(42.665865, -71.115143)",42.665865,-71.115143,06/22/2012 06:17:10 PM
Starbucks,885,Andover,Company Owned,13579,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-475-7752,"14 Main Street
Andover, MA 01810-3702
(42.656393, -71.140289)",14 Main Street,14 Main Street,,Andover,MA,01810-3702,US,"(42.656393, -71.140289)",42.656393,-71.140289,06/22/2012 06:17:10 PM
Starbucks,9716,"Concord, Loudon Road",Company Owned,7131,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-223-2395,"240 Loudon Road
Concord, NH 03301-6029
(43.222904, -71.491969)",240 Loudon Road,240 Loudon Road,,Concord,NH,03301-6029,US,"(43.222904, -71.491969)",43.222904,-71.491969,06/22/2012 06:17:10 PM
Starbucks,7960,Nashua Mall Power Center,Company Owned,14501,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-579-4761,"10 Coliseum Avenue
Nashua, NH 03063-3236
(42.76513, -71.49744)",10 Coliseum Avenue,10 Coliseum Avenue,,Nashua,NH,03063-3236,US,"(42.76513, -71.49744)",42.76513,-71.49744,06/22/2012 06:17:10 PM
Starbucks,7450,Beverly,Company Owned,12297,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-922-0885,"29 Enon Street
Beverly, MA 01915-1115
(42.585366, -70.88444)",29 Enon Street,29 Enon Street,,Beverly,MA,01915-1115,US,"(42.585366, -70.88444)",42.585366,-70.88444,06/22/2012 06:17:10 PM
Starbucks,14996,UMASS - Lowell,Licensed,66223,,,,0,Unknown,,"1 Solomont Way
Lowell, MA 01854-5120
(42.641549, -71.334888)",1 Solomont Way,1 Solomont Way,,Lowell,MA,01854-5120,US,"(42.641549, -71.334888)",42.641549,-71.334888,06/22/2012 06:17:10 PM
Starbucks,10278,Pheasant Lane Mall,Company Owned,14500,"Lunch, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,603-897-1860,"310 Daniel Webster Hwy., E281
Nashua, NH 03060-5730
(42.700708, -71.436142)","310 Daniel Webster Hwy., E281",310 Daniel Webster Hwy.,E281,Nashua,NH,03060-5730,US,"(42.700708, -71.436142)",42.700708,-71.436142,06/22/2012 06:17:10 PM
Starbucks,11531,"Nashua, 611 Amherst St",Company Owned,6615,"Lunch, Oven-warmed Food, Reserve Amenity","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,603-883-1600,"611 Amherst St.
Nashua, NH 03063-1017
(42.80103, -71.537014)",611 Amherst St.,611 Amherst St.,,Nashua,NH,03063-1017,US,"(42.80103, -71.537014)",42.80103,-71.537014,06/22/2012 06:17:10 PM
Starbucks,5107,Target Lowell T-2480,Licensed,11012,,Starbucks Card Mobile,,9999,Unknown,978-703-2020,"199 Plain St
Lowell, MA 01852-5132
(42.62462, -71.31845)",199 Plain St,199 Plain St,,Lowell,MA,01852-5132,US,"(42.62462, -71.31845)",42.62462,-71.31845,06/22/2012 06:17:10 PM
Starbucks,11848,"Beverly, 242 Elliott St",Company Owned,10506,"Lunch, Oven-warmed Food, Reserve Amenity",Starbucks Card Mobile,Drive-Through,9999,Unknown,978-927-0748,"242 Elliott St.
Beverly, MA 01915-2419
(42.556249, -70.890407)",242 Elliott St.,242 Elliott St.,,Beverly,MA,01915-2419,US,"(42.556249, -70.890407)",42.556249,-70.890407,06/22/2012 06:17:10 PM
Starbucks,7658,Chelmsford,Company Owned,15024,"Clover Crafted Small Batch Coffee, Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-458-2464,"101 Drum Hill Road
Chelmsford, MA 01824-1519
(42.623739, -71.36431)",101 Drum Hill Road,101 Drum Hill Road,,Chelmsford,MA,01824-1519,US,"(42.623739, -71.36431)",42.623739,-71.36431,06/22/2012 06:17:10 PM
Starbucks,833,Peabody,Company Owned,15876,"Lunch, Oven-warmed Food, Reserve Amenity, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-531-8224,"240 Andover Street
Peabody, MA 01960-1536
(42.545939, -70.946655)",240 Andover Street,240 Andover Street,,Peabody,MA,01960-1536,US,"(42.545939, -70.946655)",42.545939,-70.946655,06/22/2012 06:17:10 PM
Starbucks,2765,North Shore Mall,Company Owned,13843,"Lunch, Oven-warmed Food","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,978-531-1331,"210 Andover Street, Space W 133
Peabody, MA 01960-1673
(42.54524, -70.94468)","210 Andover Street, Space W 133","210 Andover Street, Space W 133",,Peabody,MA,01960-1673,US,"(42.54524, -70.94468)",42.54524,-70.94468,06/22/2012 06:17:10 PM
